OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
2024-07-05T00:49:28.970+0800: 77.681: [GC (Allocation Failure) [PSYoungGen: 161792K->27696K(199680K)] 214652K->80556K(316928K), 0.0337931 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:29.359+0800: 78.069: [GC (Allocation Failure) [PSYoungGen: 189488K->18624K(199168K)] 242348K->79161K(316416K), 0.0301962 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:29.748+0800: 78.459: [GC (Allocation Failure) [PSYoungGen: 180928K->21072K(199680K)] 241465K->89834K(316928K), 0.0343704 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:30.122+0800: 78.833: [GC (Allocation Failure) [PSYoungGen: 183376K->23657K(200704K)] 252138K->98964K(317952K), 0.0319699 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2024-07-05T00:49:30.482+0800: 79.193: [GC (Allocation Failure) [PSYoungGen: 188521K->22608K(200192K)] 263828K->102211K(317440K), 0.0371122 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2024-07-05T00:49:30.840+0800: 79.551: [GC (Allocation Failure) [PSYoungGen: 187472K->18258K(202240K)] 267075K->103121K(319488K), 0.0255627 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:31.151+0800: 79.862: [GC (Allocation Failure) [PSYoungGen: 186194K->28272K(201728K)] 271057K->115872K(318976K), 0.0319276 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:31.453+0800: 80.164: [GC (Allocation Failure) [PSYoungGen: 196208K->22368K(203776K)] 283808K->114632K(321024K), 0.0245120 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:31.828+0800: 80.538: [GC (Allocation Failure) [PSYoungGen: 192352K->9632K(203776K)] 284616K->105060K(321024K), 0.0154989 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T00:49:32.113+0800: 80.824: [GC (Allocation Failure) [PSYoungGen: 179616K->24832K(203776K)] 275044K->129696K(321024K), 0.0386721 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
