OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
Memory: 4k page, physical 3644708k(2227420k free), swap 4194300k(4194300k free)
CommandLine flags: -XX:InitialHeapSize=58315328 -XX:MaxHeapSize=3221225472 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2024-07-04T22:40:51.104+0800: 110.418: [GC (Allocation Failure) [PSYoungGen: 1000342K->22400K(1013760K)] 1064186K->86252K(1106432K), 0.0266060 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-04T22:40:52.480+0800: 111.795: [GC (Allocation Failure) [PSYoungGen: 1002368K->28512K(1012736K)] 1066220K->92372K(1105408K), 0.0286733 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-04T22:40:53.901+0800: 113.215: [GC (Allocation Failure) [PSYoungGen: 1008480K->10528K(1012224K)] 1072340K->74396K(1104896K), 0.0109280 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-04T22:40:55.346+0800: 114.660: [GC (Allocation Failure) [PSYoungGen: 988448K->17617K(1013248K)] 1052316K->81494K(1105920K), 0.0168297 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-04T22:40:56.800+0800: 116.114: [GC (Allocation Failure) [PSYoungGen: 995537K->24960K(1013248K)] 1059414K->88844K(1105920K), 0.0263319 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-04T22:40:58.180+0800: 117.494: [GC (Allocation Failure) [PSYoungGen: 1003904K->27264K(1013248K)] 1067788K->91156K(1105920K), 0.0261941 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-04T22:40:59.739+0800: 119.054: [GC (Allocation Failure) [PSYoungGen: 1006208K->25760K(1013248K)] 1070100K->89660K(1105920K), 0.0238191 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:01.572+0800: 120.886: [GC (Allocation Failure) [PSYoungGen: 1003680K->17786K(995840K)] 1067580K->81695K(1088512K), 0.0211041 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:03.244+0800: 122.558: [GC (Allocation Failure) [PSYoungGen: 995706K->25456K(1012736K)] 1059615K->89372K(1105408K), 0.0317316 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2024-07-04T22:41:04.949+0800: 124.264: [GC (Allocation Failure) [PSYoungGen: 1003376K->17584K(1012736K)] 1067292K->81508K(1105408K), 0.0195735 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:06.780+0800: 126.094: [GC (Allocation Failure) [PSYoungGen: 995504K->19840K(1011712K)] 1059428K->83772K(1104384K), 0.0264971 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-04T22:41:08.494+0800: 127.808: [GC (Allocation Failure) [PSYoungGen: 998784K->22288K(1012736K)] 1062716K->86228K(1105408K), 0.0294016 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:10.255+0800: 129.569: [GC (Allocation Failure) [PSYoungGen: 1001232K->16569K(1013760K)] 1065172K->80518K(1106432K), 0.0190978 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:11.969+0800: 131.283: [GC (Allocation Failure) [PSYoungGen: 998585K->28432K(1014272K)] 1062534K->92388K(1106944K), 0.0634914 secs] [Times: user=0.05 sys=0.01, real=0.06 secs] 
2024-07-04T22:41:13.705+0800: 133.020: [GC (Allocation Failure) [PSYoungGen: 1010448K->22043K(1014784K)] 1074404K->86008K(1107456K), 0.0233166 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-04T22:41:15.398+0800: 134.712: [GC (Allocation Failure) [PSYoungGen: 1003547K->23536K(1014272K)] 1067512K->87508K(1106944K), 0.0278701 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:17.070+0800: 136.384: [GC (Allocation Failure) [PSYoungGen: 1005040K->26768K(1013760K)] 1069012K->90748K(1106432K), 0.0299591 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-04T22:41:18.794+0800: 138.108: [GC (Allocation Failure) [PSYoungGen: 1008272K->20862K(1014784K)] 1072252K->84850K(1107456K), 0.0230166 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:20.522+0800: 139.836: [GC (Allocation Failure) [PSYoungGen: 1002366K->15698K(1014784K)] 1066354K->79694K(1107456K), 0.0188135 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:22.206+0800: 141.520: [GC (Allocation Failure) [PSYoungGen: 998226K->21936K(1015296K)] 1062222K->85940K(1107968K), 0.0288720 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-04T22:41:23.978+0800: 143.292: [GC (Allocation Failure) [PSYoungGen: 1004464K->23632K(1015296K)] 1068468K->87644K(1107968K), 0.0266803 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:25.378+0800: 144.693: [GC (Allocation Failure) [PSYoungGen: 1007696K->28160K(1015296K)] 1071708K->92188K(1107968K), 0.0283508 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-04T22:41:26.754+0800: 146.068: [GC (Allocation Failure) [PSYoungGen: 1012224K->18630K(1016320K)] 1076252K->82666K(1108992K), 0.0196456 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:28.162+0800: 147.476: [GC (Allocation Failure) [PSYoungGen: 1002182K->19504K(1003520K)] 1066218K->83548K(1096192K), 0.0208303 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:29.614+0800: 148.928: [GC (Allocation Failure) [PSYoungGen: 1003056K->24528K(1015296K)] 1067100K->88580K(1107968K), 0.0262209 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:31.063+0800: 150.377: [GC (Allocation Failure) [PSYoungGen: 1008080K->27744K(1015296K)] 1072132K->91804K(1107968K), 0.0314485 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2024-07-04T22:41:32.457+0800: 151.771: [GC (Allocation Failure) [PSYoungGen: 1011296K->16679K(1014784K)] 1075356K->80747K(1107456K), 0.0169196 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-04T22:41:33.952+0800: 153.266: [GC (Allocation Failure) [PSYoungGen: 998695K->24801K(1015296K)] 1062763K->88878K(1107968K), 0.0218341 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2024-07-04T22:41:35.416+0800: 154.730: [GC (Allocation Failure) [PSYoungGen: 1006817K->24768K(1015296K)] 1070894K->88852K(1107968K), 0.0251471 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:36.804+0800: 156.118: [GC (Allocation Failure) [PSYoungGen: 1007296K->14041K(1015296K)] 1071380K->78133K(1107968K), 0.0135212 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:38.245+0800: 157.559: [GC (Allocation Failure) [PSYoungGen: 996569K->30208K(1011200K)] 1060661K->94308K(1103872K), 0.0305134 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2024-07-04T22:41:39.848+0800: 159.162: [GC (Allocation Failure) [PSYoungGen: 1008128K->19824K(1013248K)] 1072228K->83932K(1105920K), 0.0208443 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:41.178+0800: 160.492: [GC (Allocation Failure) [PSYoungGen: 997744K->25472K(1012224K)] 1061852K->89588K(1104896K), 0.0265987 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-04T22:41:42.611+0800: 161.925: [GC (Allocation Failure) [PSYoungGen: 1004416K->29232K(1008640K)] 1068532K->93356K(1101312K), 0.0286346 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-04T22:41:44.031+0800: 163.345: [GC (Allocation Failure) [PSYoungGen: 1008176K->17632K(1013248K)] 1072300K->81764K(1105920K), 0.0187306 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
