OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
Memory: 4k page, physical 3644708k(2040184k free), swap 4194300k(4194300k free)
CommandLine flags: -XX:InitialHeapSize=58315328 -XX:MaxHeapSize=3221225472 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2024-07-05T13:05:46.929+0800: 186.659: [GC (Allocation Failure) [PSYoungGen: 1000480K->25040K(1011712K)] 1066125K->90693K(1115648K), 0.0223987 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:48.335+0800: 188.065: [GC (Allocation Failure) [PSYoungGen: 1000912K->15049K(1011712K)] 1066565K->80711K(1115648K), 0.0147495 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T13:05:49.698+0800: 189.427: [GC (Allocation Failure) [PSYoungGen: 990921K->26976K(1011712K)] 1056583K->92645K(1115648K), 0.0280615 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T13:05:51.153+0800: 190.883: [GC (Allocation Failure) [PSYoungGen: 1002848K->14392K(1012224K)] 1068517K->80070K(1116160K), 0.0182524 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T13:05:52.519+0800: 192.248: [GC (Allocation Failure) [PSYoungGen: 990264K->18610K(1010176K)] 1055942K->84296K(1114112K), 0.0206499 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:53.867+0800: 193.597: [GC (Allocation Failure) [PSYoungGen: 994482K->27104K(1011200K)] 1060168K->92797K(1115136K), 0.0271098 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T13:05:55.265+0800: 194.995: [GC (Allocation Failure) [PSYoungGen: 1002976K->17030K(1012736K)] 1068669K->82732K(1116672K), 0.0174349 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:56.642+0800: 196.372: [GC (Allocation Failure) [PSYoungGen: 993414K->16672K(993280K)] 1059116K->82381K(1097216K), 0.0170448 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T13:05:57.965+0800: 197.695: [GC (Allocation Failure) [PSYoungGen: 993056K->26736K(1011200K)] 1058765K->92453K(1115136K), 0.0268733 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T13:05:59.483+0800: 199.212: [GC (Allocation Failure) [PSYoungGen: 1002608K->20409K(1011712K)] 1068325K->86135K(1115648K), 0.0220239 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T13:06:01.005+0800: 200.735: [GC (Allocation Failure) [PSYoungGen: 996281K->25456K(1012224K)] 1062007K->91189K(1116160K), 0.0254924 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T13:06:02.454+0800: 202.184: [GC (Allocation Failure) [PSYoungGen: 1002864K->29792K(1012224K)] 1068597K->95533K(1116160K), 0.0292674 secs] [Times: user=0.06 sys=0.01, real=0.03 secs] 
